trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.3, 'e': 0.8099999999999998}",20,0,-27.574872301120465,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.3, 'e': 0.7999999999999998}",25,0,-37.91412491150359,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.7899999999999998}",25,0,-99.15934241127628,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.7799999999999998}",20,0,-120.43162653872272,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.3, 'e': 0.7699999999999998}",20,0,-98.44119483355598,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.7599999999999998}",20,14,-0.6421826896094842,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.7499999999999998}",20,0,-105.7983033923509,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.3, 'e': 0.7399999999999998}",20,6,13.011791521177624,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.3, 'e': 0.7299999999999998}",25,1,-204.99905580884797,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 3}",1
28,False,"{'a': 0.3, 'e': 0.7199999999999998}",30,10,-56.90382436360775,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
29,False,"{'a': 0.3, 'e': 0.7099999999999997}",25,15,2.3496724012616337,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.3, 'e': 0.6999999999999997}",20,0,-94.55479819281975,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.3, 'e': 0.6899999999999997}",25,0,-89.34356114632668,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",1
32,False,"{'a': 0.3, 'e': 0.6799999999999997}",25,0,-125.50324590760522,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.3, 'e': 0.6699999999999997}",20,6,-44.444091785571466,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.3, 'e': 0.6599999999999997}",30,16,11.235027378537618,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.6499999999999997}",20,8,-36.17503406859179,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.3, 'e': 0.6399999999999997}",20,11,13.877074380658964,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.6299999999999997}",20,0,-45.92617258332724,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.3, 'e': 0.6199999999999997}",30,0,-70.2637257161688,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.3, 'e': 0.6099999999999997}",20,0,-43.31684397293509,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
